{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {s iy pq pp uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {s iy pq pp uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {iy s iy pq pp uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {iy s iy pq pp uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {s aa mx s iy pq pp uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {s aa mx s iy pq pp uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {s aa s iy pq pp uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {s aa s iy pq pp uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {ow s iy pq pp uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {ow s iy pq pp uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {iy lx b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {iy lx b uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {iy b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {iy b uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {s aa mx b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {s aa mx b uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {s aa b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {s aa b uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {ow b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {ow b uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {ju kq pp uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {ju kq pp uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {ch iy lx b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {ch iy lx b uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {ph aa lx b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}.{ph aa lx b uw nn}.	0	0 	0
{s ax nn th eh kq} {aa nn} {d wh mx}, {n eh} {th aa iy m ax}, {k uw b uw nn}.	{s ax nn th eh kq} {aa nn} {d wh mx}. {n eh} {th aa iy m ax}. {k uw b uw nn}.	0	0 	0
{s ax nn th eh kq t wh mx}, {n eh} {th aa iy m ax}, {ow b uw nn}.	{s ax nn th eh kq t wh mx}. {n eh} {th aa iy m ax}. {ow b uw nn}.	0	0 	0
